latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.97564,-86.8348,310.76,0.4,0.37,2026-03-01,0750,N20,nominal,2.0NRT,273.54,2.71,N
37.34734,-77.72878,306.34,0.38,0.58,2026-03-01,0750,N20,nominal,2.0NRT,276.25,0.67,N
38.83463,-84.2411,324.36,0.49,0.41,2026-03-01,0750,N20,nominal,2.0NRT,280.68,3.31,N
40.03358,-92.83392,303.74,0.47,0.39,2026-03-01,0750,N20,nominal,2.0NRT,268.24,1.23,N
39.66001,-91.27966,297.14,0.41,0.37,2026-03-01,0750,N20,nominal,2.0NRT,270.24,0.83,N
38.99784,-87.72403,301.18,0.39,0.36,2026-03-01,0750,N20,nominal,2.0NRT,278.73,1.39,N
39.39613,-90.27861,295.71,0.39,0.36,2026-03-01,0750,N20,nominal,2.0NRT,269.06,0.58,N
38.99051,-87.72141,304.43,0.39,0.36,2026-03-01,0750,N20,nominal,2.0NRT,272.69,1.1,N
38.80008,-87.25005,297.21,0.4,0.37,2026-03-01,0750,N20,nominal,2.0NRT,274.41,0.35,N
39.57627,-92.50931,303.54,0.45,0.39,2026-03-01,0750,N20,nominal,2.0NRT,270.27,1.08,N
39.6605,-93.51828,328.45,0.49,0.4,2026-03-01,0750,N20,nominal,2.0NRT,268.82,3.84,N
39.12313,-90.79324,308.07,0.4,0.37,2026-03-01,0750,N20,nominal,2.0NRT,270.78,1.35,N
38.84493,-89.5974,303.58,0.39,0.36,2026-03-01,0750,N20,nominal,2.0NRT,270.55,0.84,N
38.8372,-90.06454,296.42,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,276.88,1.67,N
38.83654,-90.0601,299.93,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,276.56,1.14,N
38.73177,-90.08723,296.7,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,271.32,0.52,N
38.69748,-90.13229,305.42,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,277.69,0.94,N
38.73873,-90.45918,296.62,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,271.84,0.47,N
38.76885,-91.70202,308.83,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,271.27,1.03,N
38.76822,-91.69728,309.73,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,272.5,2.38,N
38.7648,-91.69804,318.69,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,272.69,2.03,N
37.77503,-86.95933,307.52,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,279.58,1.25,N
35.8944,-78.53061,296.75,0.37,0.58,2026-03-01,0752,N20,nominal,2.0NRT,277.16,0.41,N
38.25246,-90.76171,296.7,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,272.92,0.76,N
38.00904,-90.0816,317.26,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,276.81,2.02,N
38.22094,-91.73496,303.25,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,271.36,0.8,N
38.30723,-92.42007,313.7,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,272.43,2.09,N
38.30606,-92.41753,318.71,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,272.84,2,N
37.9674,-90.07652,323.5,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,277.75,2.53,N
37.60406,-88.19109,296.24,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,277.81,0.97,N
37.3129,-87.51113,297.15,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,279.24,0.94,N
35.27364,-78.20673,296.45,0.4,0.6,2026-03-01,0752,N20,nominal,2.0NRT,277.83,0.35,N
38.01873,-92.34095,306.74,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,273.12,0.95,N
38.0181,-92.33609,299.73,0.43,0.38,2026-03-01,0752,N20,nominal,2.0NRT,273.54,0.95,N
37.63348,-89.85281,305.12,0.38,0.36,2026-03-01,0752,N20,nominal,2.0NRT,276.12,0.77,N
38.06528,-93.01852,315.34,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,267.81,1.77,N
38.06172,-93.01924,296.46,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,267.31,1.09,N
38.06326,-93.01963,322.75,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,268.16,2.1,N
38.06568,-93.30143,302.05,0.46,0.39,2026-03-01,0752,N20,nominal,2.0NRT,268.04,0.8,N
37.67449,-90.50596,296.99,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,274.5,0.58,N
37.89279,-92.93055,298.68,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,264.93,1.83,N
37.88925,-92.93125,320.73,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,266.67,1.83,N
37.8835,-92.88596,319.88,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,269,2.88,N
37.88571,-92.93199,321,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,266.21,1.57,N
37.88218,-92.93275,302.13,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,264.34,1.57,N
37.88154,-92.9277,311.46,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,265.02,1.57,N
37.878,-92.92844,316.66,0.45,0.39,2026-03-01,0752,N20,nominal,2.0NRT,265.1,1.84,N
37.80595,-92.8414,296.01,0.44,0.39,2026-03-01,0752,N20,nominal,2.0NRT,271.17,0.68,N
37.79955,-92.84782,326.65,0.44,0.39,2026-03-01,0752,N20,nominal,2.0NRT,273.19,3.46,N
37.79602,-92.84856,332.36,0.44,0.39,2026-03-01,0752,N20,nominal,2.0NRT,273.44,3.68,N
37.87423,-93.80911,296.69,0.48,0.4,2026-03-01,0752,N20,nominal,2.0NRT,277.1,0.63,N
34.74527,-77.96594,305,0.43,0.62,2026-03-01,0752,N20,nominal,2.0NRT,278.08,0.56,N
37.63568,-92.89329,295.71,0.44,0.39,2026-03-01,0752,N20,nominal,2.0NRT,271.53,1.33,N
37.63215,-92.894,310.48,0.44,0.39,2026-03-01,0752,N20,nominal,2.0NRT,272.21,1.33,N
37.46482,-92.2989,299.28,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,278.25,1.53,N
37.74039,-94.76015,296.07,0.53,0.42,2026-03-01,0752,N20,nominal,2.0NRT,275.4,1.14,N
37.73656,-94.76082,305.36,0.53,0.42,2026-03-01,0752,N20,nominal,2.0NRT,275.67,1.14,N
